56857;47557;8.520833
57515;48144;17.135166
58609;48692;25.837500
56893;47283;34.494335
58200;48835;42.993000
57623;48023;51.617836
59278;49101;8.696500
56698;47691;17.076166
58946;49091;25.721666
59088;48911;34.457333
1;0;34.457664
61037;50518;43.338169
58817;48869;52.079002
59514;49441;60.889503
58494;48795;69.861496
57223;47806;78.385170
56723;47814;86.953499
1;0;86.954498
57638;48513;95.510506
56717;47591;104.041832
56934;47902;112.607826
58030;48253;121.332161
58964;49344;130.133835
56627;47403;138.818329
57939;48416;147.743332
56314;46779;156.373825
58717;48839;165.309341
56462;47299;174.067505
59287;49501;183.011002
1;0;183.011993
60338;50060;192.084671
60218;50051;201.207153
57027;47611;209.996002
1;0;209.997665
57286;47919;218.737671
59880;49266;227.769501
57670;48421;236.507492
59554;49886;245.424332
59561;49274;254.487152
1;0;254.488831
57533;48150;263.146179
1;0;263.147156
1;0;263.148010
58990;49278;271.959686
1;0;271.960999
57014;47715;280.689850
58229;48697;289.583649
57869;48213;298.464661
58276;49039;307.245667
59068;49380;316.098999
56642;47308;324.717163
59255;49279;333.700500
56385;47402;8.602667
56859;47722;17.086666
56983;47907;25.652668
58061;48910;34.178333
56792;47447;42.700169
57027;47886;51.202999
1;0;51.204002
56723;47743;59.778500
57545;48385;68.468338
57235;47920;77.142838
57173;48038;85.847168
58405;49477;94.449837
57958;48921;103.367165
59497;49341;112.356827
56170;47117;120.884827
57923;48944;129.593994
56514;47539;138.180496
56975;47921;146.743668
1;0;146.744659
56786;47507;155.558014
55980;47135;164.074173
57574;48389;172.652832
58012;48717;181.256332
57486;48248;189.843658
56019;47168;198.577667
56396;47435;207.111832
1;0;207.112671
57366;48225;215.867004
56208;47292;224.482162
57152;47935;233.188339
56785;47567;241.727158
57985;48992;250.329330
55894;46813;258.946167
60125;49985;267.906830
1;0;267.907990
57212;48234;276.619171
58237;48652;285.338654
56446;47339;293.931335
1;0;293.932831
57387;48310;302.601196
57161;47958;311.286499
1;0;311.287659
1;0;311.288666
59086;50070;320.045166
1;0;320.046478
57103;47850;328.826660
57474;48559;337.440826
56875;47746;346.071014
59960;50698;354.781494
56616;47519;363.362854
56344;47076;372.057159
55929;46901;380.604340
57033;47883;395.207520
60263;51094;404.134674
56515;47450;412.903320
58097;48869;421.729492
58555;49141;8.855333
59784;49839;17.800667
56220;47324;28.335501
1;0;28.340332
57296;47751;37.164833
1;0;37.166668
58520;49462;45.962666
58608;49145;54.795830
57036;47808;63.503002
57050;47825;72.171661
58952;49439;80.999001
59302;49624;89.887161
58987;49208;98.747169
1;0;98.748833
59115;49132;107.618660
57065;47796;116.398834
56293;47443;124.852333
57077;47638;133.646667
58258;48642;142.580826
58880;49330;151.356155
56448;47212;159.949493
1;0;159.950333
1;0;0.001333
56291;47261;8.743834
56303;47298;17.742500
58025;48829;26.606501
58129;49104;35.362667
56566;47677;44.124500
58129;49153;52.933334
57503;48313;61.647667
55618;46863;70.223671
56802;47851;78.868828
55828;46736;87.669159
56711;47786;96.488831
56956;48047;105.292999
57439;48508;114.023331
55674;46641;122.668663
57351;48202;131.366837
56726;47764;140.077332
56132;47236;148.696655
56835;47922;157.411835
58978;49638;166.307007
56777;47705;175.016174
57376;47926;183.865662
57411;48266;192.602509
58390;49209;201.476166
